#Ensembl gene	external name	external name source	biotype	status	chromosome	start	end	strand	source	description
ENSG00000001461	NIPAL3	HGNC	protein_coding	KNOWN	1	24742284	24799466	1	ensembl	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]
ENSG00000001497	LAS1L	HGNC	protein_coding	KNOWN	X	64732462	64754655	-1	ensembl	LAS1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:25726]
ENSG00000001561	ENPP4	HGNC	protein_coding	KNOWN	6	46097701	46114435	1	ensembl	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:3359]
ENSG00000001617	SEMA3F	HGNC	protein_coding	KNOWN	3	50192478	50226508	1	ensembl	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]
ENSG00000001626	CFTR	HGNC	protein_coding	KNOWN	7	117105838	117308719	1	ensembl	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]
ENSG00000001629	ANKIB1	HGNC	protein_coding	KNOWN	7	91875548	92030698	1	ensembl	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]
ENSG00000001630	CYP51A1	HGNC	protein_coding	KNOWN	7	91741465	91772266	-1	ensembl	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]
ENSG00000001631	KRIT1	HGNC	protein_coding	KNOWN	7	91828283	91875480	-1	ensembl	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]
ENSG00000002016	RAD52	HGNC	protein_coding	KNOWN	12	1021243	1100356	-1	ensembl	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]
ENSG00000002330	BAD	HGNC	protein_coding	KNOWN	11	64037302	64052176	-1	ensembl	BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]
ENSG00000002549	LAP3	HGNC	protein_coding	KNOWN	4	17578815	17609595	1	ensembl	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]
ENSG00000002586	CD99	HGNC	protein_coding	KNOWN	X	2609220	2659350	1	ensembl	CD99 molecule [Source:HGNC Symbol;Acc:7082]
ENSG00000002587	HS3ST1	HGNC	protein_coding	KNOWN	4	11394774	11431389	-1	ensembl	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]
ENSG00000002726	ABP1	HGNC	protein_coding	KNOWN	7	150521715	150558592	1	ensembl	amiloride binding protein 1 (amine oxidase (copper-containing)) [Source:HGNC Symbol;Acc:80]
ENSG00000002745	WNT16	HGNC	protein_coding	KNOWN	7	120965421	120981158	1	ensembl	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]
ENSG00000002746	HECW1	HGNC	protein_coding	KNOWN	7	43152198	43602938	1	ensembl	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:22195]
ENSG00000002822	MAD1L1	HGNC	protein_coding	KNOWN	7	1855383	2272878	-1	ensembl	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]
ENSG00000002834	LASP1	HGNC	protein_coding	KNOWN	17	37026256	37078023	1	ensembl	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]
ENSG00000002919	SNX11	HGNC	protein_coding	KNOWN	17	46184911	46200105	1	ensembl	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]
ENSG00000002933	TMEM176A	HGNC	protein_coding	KNOWN	7	150497491	150502208	1	ensembl	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]
ENSG00000003056	M6PR	HGNC	protein_coding	KNOWN	12	9092959	9102551	-1	ensembl	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]
ENSG00000003096	KLHL13	HGNC	protein_coding	KNOWN	X	117031776	117251303	-1	ensembl	kelch-like 13 (Drosophila) [Source:HGNC Symbol;Acc:22931]
ENSG00000003137	CYP26B1	HGNC	protein_coding	KNOWN	2	72356367	72375167	-1	ensembl	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]
ENSG00000003147	ICA1	HGNC	protein_coding	KNOWN	7	8152814	8302317	-1	ensembl	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]
ENSG00000003249	DBNDD1	HGNC	protein_coding	KNOWN	16	90071273	90086536	-1	ensembl	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]
ENSG00000003393	ALS2	HGNC	protein_coding	KNOWN	2	202565277	202645912	-1	ensembl	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]
ENSG00000003400	CASP10	HGNC	protein_coding	KNOWN	2	202047604	202094129	1	ensembl	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]
ENSG00000003402	CFLAR	HGNC	protein_coding	KNOWN	2	201980827	202029033	1	ensembl	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]
ENSG00000003436	TFPI	HGNC	protein_coding	KNOWN	2	188328957	188430487	-1	ensembl	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]
ENSG00000003509	C2orf56	HGNC	protein_coding	KNOWN	2	37458774	37480546	1	ensembl	chromosome 2 open reading frame 56 [Source:HGNC Symbol;Acc:28816]
ENSG00000003756	RBM5	HGNC	protein_coding	KNOWN	3	50126341	50156454	1	ensembl	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]
ENSG00000003987	MTMR7	HGNC	protein_coding	KNOWN	8	17155539	17271037	-1	ensembl	myotubularin related protein 7 [Source:HGNC Symbol;Acc:7454]
ENSG00000003989	SLC7A2	HGNC	protein_coding	KNOWN	8	17354597	17428082	1	ensembl	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]
ENSG00000004059	ARF5	HGNC	protein_coding	KNOWN	7	127228399	127231759	1	ensembl	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]
ENSG00000004139	SARM1	HGNC	protein_coding	KNOWN	17	26691378	26728046	1	ensembl	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]
ENSG00000004399	PLXND1	HGNC	protein_coding	KNOWN	3	129274018	129325661	-1	ensembl	plexin D1 [Source:HGNC Symbol;Acc:9107]
ENSG00000004455	AK2	HGNC	protein_coding	KNOWN	1	33473585	33546597	-1	ensembl	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]
ENSG00000004468	CD38	HGNC	protein_coding	KNOWN	4	15779898	15851069	1	ensembl	CD38 molecule [Source:HGNC Symbol;Acc:1667]
ENSG00000004478	FKBP4	HGNC	protein_coding	KNOWN	12	2904119	2914576	1	ensembl	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]
ENSG00000004487	KDM1A	HGNC	protein_coding	KNOWN	1	23345941	23410182	1	ensembl	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]
ENSG00000004534	RBM6	HGNC	protein_coding	KNOWN	3	49977440	50137478	1	ensembl	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]
ENSG00000004660	CAMKK1	HGNC	protein_coding	KNOWN	17	3763609	3798185	-1	ensembl	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]
ENSG00000004700	RECQL	HGNC	protein_coding	KNOWN	12	21621845	21654603	-1	ensembl	RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]
ENSG00000004766	CCDC132	HGNC	protein_coding	KNOWN	7	92861653	92988338	1	ensembl	coiled-coil domain containing 132 [Source:HGNC Symbol;Acc:25956]
ENSG00000004776	HSPB6	HGNC	protein_coding	KNOWN	19	36245470	36247930	-1	ensembl	heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:26511]
ENSG00000004777	ARHGAP33	HGNC	protein_coding	KNOWN	19	36266417	36279724	1	ensembl	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]
ENSG00000004779	NDUFAB1	HGNC	protein_coding	KNOWN	16	23592323	23607677	-1	ensembl	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]
ENSG00000004799	PDK4	HGNC	protein_coding	KNOWN	7	95212811	95225828	-1	ensembl	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]
ENSG00000004809	SLC22A16	HGNC	protein_coding	KNOWN	6	110745890	110797844	-1	ensembl	solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]
ENSG00000004838	ZMYND10	HGNC	protein_coding	KNOWN	3	50378541	50384283	-1	ensembl	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]
ENSG00000004846	ABCB5	HGNC	protein_coding	KNOWN	7	20654830	20816658	1	ensembl	ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]
ENSG00000004848	ARX	HGNC	protein_coding	KNOWN	X	25021811	25034065	-1	ensembl	aristaless related homeobox [Source:HGNC Symbol;Acc:18060]
ENSG00000004864	SLC25A13	HGNC	protein_coding	KNOWN	7	95749532	95951459	-1	ensembl	solute carrier family 25, member 13 (citrin) [Source:HGNC Symbol;Acc:10983]
ENSG00000004866	ST7	HGNC	protein_coding	KNOWN	7	116593292	116870157	1	ensembl	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]
ENSG00000004897	CDC27	HGNC	protein_coding	KNOWN	17	45195069	45266788	-1	ensembl	cell division cycle 27 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:1728]
ENSG00000004939	SLC4A1	HGNC	protein_coding	KNOWN	17	42325753	42345509	-1	ensembl	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group) [Source:HGNC Symbol;Acc:11027]
ENSG00000004948	CALCR	HGNC	protein_coding	KNOWN	7	93053799	93204042	-1	ensembl	calcitonin receptor [Source:HGNC Symbol;Acc:1440]
ENSG00000004961	HCCS	HGNC	protein_coding	KNOWN	X	11129421	11141198	1	ensembl	holocytochrome c synthase [Source:HGNC Symbol;Acc:4837]
ENSG00000004975	DVL2	HGNC	protein_coding	KNOWN	17	7128660	7137864	-1	ensembl	dishevelled, dsh homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:3086]
ENSG00000005001	PRSS22	HGNC	protein_coding	KNOWN	16	2902728	2908631	-1	ensembl	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]
ENSG00000005007	UPF1	HGNC	protein_coding	KNOWN	19	18942744	18979038	1	ensembl	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]
ENSG00000005020	SKAP2	HGNC	protein_coding	KNOWN	7	26706681	27034858	-1	ensembl	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]
ENSG00000005022	SLC25A5	HGNC	protein_coding	KNOWN	X	118602363	118605282	1	ensembl	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:10991]
ENSG00000005059	CCDC109B	HGNC	protein_coding	KNOWN	4	110481361	110609874	1	ensembl	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]
ENSG00000005073	HOXA11	HGNC	protein_coding	KNOWN	7	27221129	27224842	-1	ensembl	homeobox A11 [Source:HGNC Symbol;Acc:5101]
ENSG00000005075	POLR2J	HGNC	protein_coding	KNOWN	7	102113565	102119354	-1	ensembl	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]
ENSG00000005100	DHX33	HGNC	protein_coding	KNOWN	17	5344232	5372380	-1	ensembl	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:16718]
ENSG00000005102	MEOX1	HGNC	protein_coding	KNOWN	17	41717756	41739322	-1	ensembl	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:7013]
ENSG00000005108	THSD7A	HGNC	protein_coding	KNOWN	7	11410064	11871824	-1	ensembl	thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:22207]
ENSG00000005156	LIG3	HGNC	protein_coding	KNOWN	17	33307542	33332083	1	ensembl	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6600]
ENSG00000005175	RPAP3	HGNC	protein_coding	KNOWN	12	48057070	48099844	-1	ensembl	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]
ENSG00000005187	ACSM3	HGNC	protein_coding	KNOWN	16	20621565	20808903	1	ensembl	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:10522]
ENSG00000005189	AC004381.6	Clone_based_vega_gene	protein_coding	NOVEL	16	20817751	20860990	1	ensembl	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]
ENSG00000005194	CIAPIN1	HGNC	protein_coding	KNOWN	16	57462081	57481440	-1	ensembl	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]
ENSG00000005206	SPPL2B	HGNC	protein_coding	KNOWN	19	2328629	2355099	1	ensembl	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:30627]
ENSG00000005238	FAM214B	HGNC	protein_coding	KNOWN	9	35104109	35115999	-1	ensembl	family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:25666]
ENSG00000005243	COPZ2	HGNC	protein_coding	KNOWN	17	46103535	46115139	-1	ensembl	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:19356]
ENSG00000005249	PRKAR2B	HGNC	protein_coding	KNOWN	7	106685094	106802256	1	ensembl	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]
ENSG00000005302	MSL3	HGNC	protein_coding	KNOWN	X	11776278	11793870	1	ensembl	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:7370]
ENSG00000005339	CREBBP	HGNC	protein_coding	KNOWN	16	3775055	3930727	-1	ensembl	CREB binding protein [Source:HGNC Symbol;Acc:2348]
ENSG00000005379	BZRAP1	HGNC	protein_coding	KNOWN	17	56378598	56406152	-1	ensembl	benzodiazapine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]
ENSG00000005381	MPO	HGNC	protein_coding	KNOWN	17	56347217	56358296	-1	ensembl	myeloperoxidase [Source:HGNC Symbol;Acc:7218]
ENSG00000005421	PON1	HGNC	protein_coding	KNOWN	7	94926988	95025673	-1	ensembl	paraoxonase 1 [Source:HGNC Symbol;Acc:9204]
ENSG00000005436	GCFC2	HGNC	protein_coding	KNOWN	2	75879126	75938115	-1	ensembl	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:1317]
ENSG00000005448	WDR54	HGNC	protein_coding	KNOWN	2	74648805	74652882	1	ensembl	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]
ENSG00000005469	CROT	HGNC	protein_coding	KNOWN	7	86974997	87029111	1	ensembl	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]
ENSG00000005471	ABCB4	HGNC	protein_coding	KNOWN	7	87031013	87109751	-1	ensembl	ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]
ENSG00000005483	MLL5	HGNC	protein_coding	KNOWN	7	104654626	104754808	1	ensembl	myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila) [Source:HGNC Symbol;Acc:18541]
ENSG00000005486	RHBDD2	HGNC	protein_coding	KNOWN	7	75471920	75518244	1	ensembl	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:23082]
ENSG00000005513	SOX8	HGNC	protein_coding	KNOWN	16	1031808	1036979	1	ensembl	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:11203]
ENSG00000005700	IBTK	HGNC	protein_coding	KNOWN	6	82879700	82957471	-1	ensembl	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:17853]
ENSG00000005801	ZNF195	HGNC	protein_coding	KNOWN	11	3360491	3400448	-1	ensembl	zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]
ENSG00000005810	MYCBP2	HGNC	protein_coding	KNOWN	13	77618792	77901185	-1	ensembl	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]
ENSG00000005812	FBXL3	HGNC	protein_coding	KNOWN	13	77566740	77601330	-1	ensembl	F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:13599]
ENSG00000005844	ITGAL	HGNC	protein_coding	KNOWN	16	30483979	30534289	1	ensembl	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]
ENSG00000005882	PDK2	HGNC	protein_coding	KNOWN	17	48172101	48189516	1	ensembl	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]
ENSG00000005884	ITGA3	HGNC	protein_coding	KNOWN	17	48133332	48167845	1	ensembl	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]
ENSG00000005889	ZFX	HGNC	protein_coding	KNOWN	X	24167290	24234372	1	ensembl	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:12869]
ENSG00000005893	LAMP2	HGNC	protein_coding	KNOWN	X	119561682	119603220	-1	ensembl	lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:6501]
ENSG00000005955	GGNBP2	HGNC	protein_coding	KNOWN	17	34900773	34946278	1	ensembl	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:19357]
ENSG00000005961	ITGA2B	HGNC	protein_coding	KNOWN	17	42449550	42466873	-1	ensembl	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]
ENSG00000005981	ASB4	HGNC	protein_coding	KNOWN	7	95107756	95169544	1	ensembl	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]
ENSG00000006007	GDE1	HGNC	protein_coding	KNOWN	16	19513015	19533467	-1	ensembl	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]
ENSG00000006015	C19orf60	HGNC	protein_coding	KNOWN	19	18699495	18703146	1	ensembl	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]
ENSG00000006016	CRLF1	HGNC	protein_coding	KNOWN	19	18704037	18717660	-1	ensembl	cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:2364]
ENSG00000006025	OSBPL7	HGNC	protein_coding	KNOWN	17	45884733	45899200	-1	ensembl	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]
ENSG00000006042	TMEM98	HGNC	protein_coding	KNOWN	17	31254928	31268667	1	ensembl	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]
ENSG00000006047	YBX2	HGNC	protein_coding	KNOWN	17	7191571	7197934	-1	ensembl	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]
ENSG00000006059	KRT33A	HGNC	protein_coding	KNOWN	17	39502344	39507064	-1	ensembl	keratin 33A [Source:HGNC Symbol;Acc:6450]
ENSG00000006062	MAP3K14	HGNC	protein_coding	KNOWN	17	43340488	43394414	-1	ensembl	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:6853]
ENSG00000006071	ABCC8	HGNC	protein_coding	KNOWN	11	17414432	17498449	-1	ensembl	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]
ENSG00000006074	CCL18	HGNC	protein_coding	KNOWN	17	34391640	34399392	1	ensembl	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) [Source:HGNC Symbol;Acc:10616]
ENSG00000006075	CCL3	HGNC	protein_coding	KNOWN	17	34415602	34417515	-1	ensembl	chemokine (C-C motif) ligand 3 [Source:HGNC Symbol;Acc:10627]
ENSG00000006114	SYNRG	HGNC	protein_coding	KNOWN	17	35874900	35969488	-1	ensembl	synergin, gamma [Source:HGNC Symbol;Acc:557]
ENSG00000006116	CACNG3	HGNC	protein_coding	KNOWN	16	24266874	24374122	1	ensembl	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]
ENSG00000006118	TMEM132A	HGNC	protein_coding	KNOWN	11	60691935	60704631	1	ensembl	transmembrane protein 132A [Source:HGNC Symbol;Acc:31092]
ENSG00000006125	AP2B1	HGNC	protein_coding	KNOWN	17	33914282	34053434	1	ensembl	adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]
ENSG00000006128	TAC1	HGNC	protein_coding	KNOWN	7	97361220	97369784	1	ensembl	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]
ENSG00000006194	ZNF263	HGNC	protein_coding	KNOWN	16	3313743	3351401	1	ensembl	zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]
ENSG00000006210	CX3CL1	HGNC	protein_coding	KNOWN	16	57406370	57418960	1	ensembl	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]
ENSG00000006282	SPATA20	HGNC	protein_coding	KNOWN	17	48620419	48633213	1	ensembl	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]
ENSG00000006283	CACNA1G	HGNC	protein_coding	KNOWN	17	48638429	48704835	1	ensembl	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]
ENSG00000006327	TNFRSF12A	HGNC	protein_coding	KNOWN	16	3068446	3072384	1	ensembl	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]
ENSG00000006377	DLX6	HGNC	protein_coding	KNOWN	7	96634860	96640351	1	ensembl	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]
ENSG00000006432	MAP3K9	HGNC	protein_coding	KNOWN	14	71189243	71276251	-1	ensembl	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861]
ENSG00000006451	RALA	HGNC	protein_coding	KNOWN	7	39663082	39747723	1	ensembl	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]
ENSG00000006453	BAIAP2L1	HGNC	protein_coding	KNOWN	7	97920963	98030380	-1	ensembl	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]
ENSG00000006459	JHDM1D	HGNC	protein_coding	KNOWN	7	139784546	139876835	-1	ensembl	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae) [Source:HGNC Symbol;Acc:22224]
ENSG00000006468	ETV1	HGNC	protein_coding	KNOWN	7	13930853	14031050	-1	ensembl	ets variant 1 [Source:HGNC Symbol;Acc:3490]
ENSG00000006530	AGK	HGNC	protein_coding	KNOWN	7	141250989	141355044	1	ensembl	acylglycerol kinase [Source:HGNC Symbol;Acc:21869]
ENSG00000006555	TTC22	HGNC	protein_coding	KNOWN	1	55245385	55266940	-1	ensembl	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]
ENSG00000006576	PHTF2	HGNC	protein_coding	KNOWN	7	77428109	77586818	1	ensembl	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:13411]
ENSG00000006606	CCL26	HGNC	protein_coding	KNOWN	7	75398851	75419214	-1	ensembl	chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]
ENSG00000006607	FARP2	HGNC	protein_coding	KNOWN	2	242295658	242434256	1	ensembl	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]
ENSG00000006611	USH1C	HGNC	protein_coding	KNOWN	11	17515442	17565963	-1	ensembl	Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]
ENSG00000006625	GGCT	HGNC	protein_coding	KNOWN	7	30536237	30544460	-1	ensembl	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:21705]
ENSG00000006634	DBF4	HGNC	protein_coding	KNOWN	7	87505531	87538856	1	ensembl	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]
ENSG00000006638	TBXA2R	HGNC	protein_coding	KNOWN	19	3594504	3606831	-1	ensembl	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]
ENSG00000006652	IFRD1	HGNC	protein_coding	KNOWN	7	112063023	112121072	1	ensembl	interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]
ENSG00000006659	LGALS14	HGNC	protein_coding	KNOWN	19	40194946	40200087	1	ensembl	lectin, galactoside-binding, soluble, 14 [Source:HGNC Symbol;Acc:30054]
ENSG00000006695	COX10	HGNC	protein_coding	KNOWN	17	13972846	14111994	1	ensembl	COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast) [Source:HGNC Symbol;Acc:2260]
ENSG00000006704	GTF2IRD1	HGNC	protein_coding	KNOWN	7	73868120	74016931	1	ensembl	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:4661]
ENSG00000006712	PAF1	HGNC	protein_coding	KNOWN	19	39876275	39881757	-1	ensembl	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25459]
ENSG00000006715	VPS41	HGNC	protein_coding	KNOWN	7	38762563	38971994	-1	ensembl	vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:12713]
